company_code,company_name,report_year,indicator_code,value,source,confidence
000037.SZ,深南电A,2025,Q_G_CASH_REALIZATION,102.547113639,extracted,0.9
000037.SZ,深南电A,2025,Q_S_BENEFIT_PER_EMPLOYEE,6.20805146885,extracted,0.9
000037.SZ,深南电A,2025,Q_S_EDU_PER_EMPLOYEE,0.632979465574,extracted,0.9
000037.SZ,深南电A,2025,Q_E_GHG_INTENSITY,96.0,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_GHG_REDUCTION_RATE,13.6783156641,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_ENERGY_INTENSITY,84.0,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_CLEAN_ENERGY_INTENSITY,60.0,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_NOX_INTENSITY,46.8914518705,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_SO2_INTENSITY,88.6712070065,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_PM_INTENSITY,11.6011859525,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_WASTEWATER_INTENSITY,134.102018567,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_WATER_INTENSITY,124.0,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_ALTERNATIVE_WATER_RATE,48.97,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_SOLID_WASTE_INTENSITY,7.1,industry_filled,0.6
000037.SZ,深南电A,2025,Q_E_HAZ_WASTE_INTENSITY,0.500762563488,industry_filled,0.6
000037.SZ,深南电A,2025,Q_S_SAFETY_INVEST_RATE,8.0,industry_filled,0.6
000037.SZ,深南电A,2025,Q_S_ENV_INVEST_RATE,3.0,industry_filled,0.6
000037.SZ,深南电A,2025,Q_S_DONATION_RATE,0.0101674609757,industry_filled,0.6
000037.SZ,深南电A,2025,Q_G_ROA,4.82964985516,industry_filled,0.6
000037.SZ,深南电A,2025,Q_G_OPERATING_MARGIN,7.79810136571,industry_filled,0.6
000037.SZ,深南电A,2025,Q_G_EBITDA_MARGIN,14.3784319991,industry_filled,0.6
000037.SZ,深南电A,2025,Q_G_COST_REVENUE_RATE,95.1661055048,industry_filled,0.6
000037.SZ,深南电A,2025,Q_G_CURRENT_ASSET_TURNOVER,1.12902751944,industry_filled,0.6
000037.SZ,深南电A,2025,Q_G_TWO_FUNDS_RATE,45.9690973056,industry_filled,0.6
000037.SZ,深南电A,2025,Q_G_EBITDA_INTEREST,6.71240301904,industry_filled,0.6
000037.SZ,深南电A,2025,Q_G_QUICK_RATIO,116.836108816,industry_filled,0.6
000037.SZ,深南电A,2025,Q_G_CASH_CURRENT_LIABILITY,21.4426529945,industry_filled,0.6
000037.SZ,深南电A,2025,Q_G_OPERATING_PROFIT_GROWTH,29.8168341886,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_G_REVENUE_GROWTH,7.38365758505,extracted,0.9
000049.SZ,德赛电池,2025,Q_G_REVENUE,7.0,extracted,0.9
000049.SZ,德赛电池,2025,Q_G_ROE,4.4,extracted,0.9
000049.SZ,德赛电池,2025,Q_S_RD_RATE,64.0,extracted,0.9
000049.SZ,德赛电池,2025,Q_S_DIVIDEND_PER_SHARE,0.23,extracted,0.9
000049.SZ,德赛电池,2025,Q_S_PAY_PER_EMPLOYEE,126.0,extracted,0.9
000049.SZ,德赛电池,2025,Q_E_GHG_INTENSITY,96.0,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_GHG_REDUCTION_RATE,13.6783156641,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_ENERGY_INTENSITY,84.0,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_CLEAN_ENERGY_INTENSITY,60.0,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_NOX_INTENSITY,46.8914518705,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_SO2_INTENSITY,88.6712070065,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_PM_INTENSITY,11.6011859525,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_WASTEWATER_INTENSITY,134.102018567,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_WATER_INTENSITY,124.0,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_ALTERNATIVE_WATER_RATE,48.97,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_SOLID_WASTE_INTENSITY,7.1,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_E_HAZ_WASTE_INTENSITY,0.500762563488,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_S_SAFETY_INVEST_RATE,8.0,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_S_ENV_INVEST_RATE,3.0,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_S_DONATION_RATE,0.0101674609757,industry_filled,0.6
000049.SZ,德赛电池,2025,Q_S_BENEFIT_PER_EMPLOYEE,1.80888375219,industry_filled,0.6
